Rank,Country,Gold,Silver,Bronze,Total_Gold,Total_medals,Metric
1.0,Norway (NOR),14.0,14.0,11.0,24.666666666666668,39.0,
2.0,Germany (GER),14.0,10.0,7.0,21.333333333333332,31.0,
3.0,Canada (CAN),11.0,8.0,10.0,18.333333333333332,29.0,
4.0,United States (USA),9.0,8.0,6.0,15.0,23.0,
5.0,Netherlands (NED),8.0,6.0,6.0,13.0,20.0,
6.0,Sweden (SWE),7.0,6.0,1.0,10.333333333333334,14.0,
7.0,South Korea (KOR),5.0,8.0,4.0,10.333333333333334,17.0,
8.0,Switzerland (SUI),5.0,6.0,4.0,9.333333333333334,15.0,
9.0,France (FRA),5.0,4.0,6.0,9.0,15.0,
10.0,Austria (AUT),5.0,3.0,6.0,8.5,14.0,
11.0,Japan (JPN),4.0,5.0,4.0,7.833333333333333,13.0,
12.0,Italy (ITA),3.0,2.0,5.0,5.666666666666667,10.0,
13.0,Olympic Athletes from Russia (OAR),2.0,6.0,9.0,8.0,17.0,
14.0,Czech Republic (CZE),2.0,2.0,3.0,4.0,7.0,
15.0,Belarus (BLR),2.0,1.0,0.0,2.5,3.0,
16.0,China (CHN),1.0,6.0,2.0,4.666666666666667,9.0,
17.0,Slovakia (SVK),1.0,2.0,0.0,2.0,3.0,
18.0,Finland (FIN),1.0,1.0,4.0,2.833333333333333,6.0,
19.0,Great Britain (GBR),1.0,0.0,4.0,2.333333333333333,5.0,
20.0,Poland (POL),1.0,0.0,1.0,1.3333333333333333,2.0,
21.0,Hungary (HUN),1.0,0.0,0.0,1.0,1.0,
22.0,Ukraine (UKR),1.0,0.0,0.0,1.0,1.0,
23.0,Australia (AUS),0.0,2.0,1.0,1.3333333333333333,3.0,
24.0,Slovenia (SLO),0.0,1.0,1.0,0.8333333333333333,2.0,
25.0,Belgium (BEL),0.0,1.0,0.0,0.5,1.0,
,,4.12,4.08,3.8,,12.0,Mean
,,2.0,3.0,4.0,,10.0,Median
,,4.131053134492462,3.587979933054253,3.2,,10.13903348450926,Std Dev
,,0.0,0.0,0.0,,1.0,Min
,,14.0,14.0,11.0,,39.0,Max
